# index	name	x_px	y_px	z_norm	x_norm	y_norm
340		365.138984	151.765411	0.024704	0.608565	0.395222
341		318.892300	143.411545	-0.000947	0.531487	0.373468
342		358.697784	134.467644	0.008786	0.597830	0.350176
343		315.368056	154.420807	-0.018384	0.525613	0.402138
344		317.672575	180.090843	-0.043881	0.529454	0.468987
345		371.998858	156.680397	0.039109	0.619998	0.408022
346		360.541141	156.968559	0.015303	0.600902	0.408772
347		351.730835	159.908192	0.005046	0.586218	0.416428
348		338.322151	159.104153	-0.000670	0.563870	0.414334
349		328.322339	156.323456	-0.003659	0.547204	0.407092
350		320.873451	153.267139	-0.007777	0.534789	0.399133
351		306.278908	145.751907	-0.033651	0.510465	0.379562
352		370.204031	171.862873	0.039259	0.617007	0.447560
353		364.448261	133.461468	0.013808	0.607414	0.347556
354		303.448856	189.364288	-0.054369	0.505748	0.493136
355		319.809937	166.210533	-0.016054	0.533017	0.432840
356		380.981398	140.745014	0.108463	0.634969	0.366523
357		315.300429	149.867329	-0.010605	0.525501	0.390280
358		324.060166	180.754772	-0.009000	0.540100	0.470716
359		353.883684	139.133869	0.013745	0.589806	0.362328
360		317.839372	175.061897	-0.040215	0.529732	0.455890
361		374.936306	190.382664	0.124617	0.624894	0.495788
362	left_eye_inner_corner	318.743742	140.973381	0.001379	0.531240	0.367118
363		311.983573	171.619274	-0.052631	0.519973	0.446925
364		355.169821	227.979378	0.058452	0.591950	0.593696
365		354.929996	235.524559	0.081036	0.591550	0.613345
366		376.593518	172.801872	0.082415	0.627656	0.450005
367		363.008773	217.424103	0.070794	0.605015	0.566209
368		375.554574	128.595737	0.052966	0.625924	0.334885
369		328.054512	254.910667	0.027358	0.546758	0.663830
370		302.787781	190.542732	-0.037996	0.504646	0.496205
371		325.956917	171.248016	-0.010477	0.543262	0.445958
372		371.237290	143.066505	0.039799	0.618729	0.372569
373		341.762209	142.803246	0.001424	0.569604	0.371883
374	left_eye_lower_lid	336.016059	143.252712	-0.001461	0.560027	0.373054
375		328.535342	217.381416	0.006657	0.547559	0.566097
376		368.443358	186.314667	0.046730	0.614072	0.485194
377		315.716350	265.608925	0.032631	0.526194	0.691690
378		336.482298	253.961861	0.053247	0.560804	0.661359
379		345.253837	246.272392	0.065345	0.575423	0.641334
380		330.122316	142.685246	-0.002129	0.550204	0.371576
381		324.345911	141.703194	-0.000795	0.540577	0.369019
382		320.552588	141.382507	0.001242	0.534254	0.368184
383		369.301593	131.406910	0.025513	0.615503	0.342205
384		325.829530	136.170536	-0.003664	0.543049	0.354611
385		332.084227	134.316078	-0.006270	0.553474	0.349781
386	left_eye_upper_lid	338.173413	134.077744	-0.005773	0.563622	0.349161
387		343.922675	135.131126	-0.002639	0.573204	0.351904
388		347.279048	136.683941	0.001705	0.578798	0.355948
389		379.987407	124.286362	0.084626	0.633312	0.323662
390		345.545053	141.730133	0.004974	0.575908	0.369089
391		322.469294	199.426712	-0.013504	0.537449	0.519340
392		316.925883	185.191486	-0.031355	0.528210	0.482269
393		309.886372	197.886681	-0.024477	0.516477	0.515330
394		346.481717	238.382698	0.049144	0.577470	0.620788
395		337.703168	246.756317	0.039095	0.562839	0.642595
396		315.827608	260.555191	0.017004	0.526379	0.678529
397		362.620962	223.811714	0.100105	0.604368	0.582843
398		321.038640	139.004677	-0.000895	0.535064	0.361991
399		310.807407	157.244453	-0.034107	0.518012	0.409491
400		326.942468	260.795403	0.040680	0.544904	0.679155
401		373.637652	188.674839	0.084552	0.622729	0.491341
402		314.704585	213.360741	-0.006128	0.524508	0.555627
403		316.022265	216.409882	-0.006887	0.526704	0.563567
404		317.272425	220.328888	-0.008135	0.528787	0.573773
